customer_id,age,gender,region,plan_type,handset_tier,tenure_months,is_family_plan,total_call_min,avg_call_min,call_count,roaming_ratio,last_call_date,recharge_txn_count,avg_recharge_amount,total_recharge_amount,last_recharge_date,complaint_count,last_complaint_date,on_time_pay_ratio,arpu,last_bill_date,days_since_call_date,days_since_recharge_date,days_since_complaint_date,days_since_bill_date,churn,label,churn_prob,segment
1,23,M,West,Postpaid,Basic,44,0,1457.629572193285,3.5813994402783416,407,0.08353808353808354,2025-10-24,6,20.090161966072948,120.54097179643769,2025-10-17,0.0,,1.0,22.372734588498492,2025-10-24,2,9,,2.0,0,0,0.2949018789577432,Loyal
2,65,M,West,Postpaid,Mid,35,0,1148.8345562161685,3.3591653690531245,342,0.10818713450292397,2025-10-25,6,19.833407122685912,119.00044273611547,2025-10-21,1.0,2025-06-04,1.0,19.554156524468592,2025-10-24,1,5,144.0,2.0,0,0,0.4790740670639019,Loyal
3,58,F,North,Prepaid,Premium,2,0,1061.4783715190974,3.598231767861347,295,0.0847457627118644,2025-10-24,6,8.380943588467574,50.28566153080544,2025-10-11,1.0,2025-10-22,0.0,0.0,,2,15,4.0,,0,0,0.6906510732311145,Value Growth
4,45,F,North,Prepaid,Basic,15,0,927.2578294529969,3.5123402630795337,264,0.10227272727272728,2025-10-25,12,10.24913863702239,122.98966364426869,2025-10-22,1.0,2025-08-17,0.0,0.0,,1,4,70.0,,0,0,0.39933003420894664,Unassigned
5,44,M,South,Prepaid,Basic,23,0,863.6267014436013,3.539453694440989,244,0.12295081967213115,2025-10-25,12,6.8787941208853,82.5455294506236,2025-10-08,0.0,,0.0,0.0,,1,18,,,0,0,0.5009747297790628,Value Growth
6,71,F,North,Prepaid,Mid,13,0,878.8415667103843,3.515366266841537,250,0.064,2025-10-25,6,11.706383208498876,70.23829925099325,2025-10-09,2.0,2025-08-02,0.0,0.0,,1,17,85.0,,0,1,0.7896957973838352,At Risk
7,23,F,South,Prepaid,Basic,114,0,1040.3968556474433,3.599989119887347,289,0.0726643598615917,2025-10-24,6,6.794508229303863,40.76704937582318,2025-10-18,0.0,,0.0,0.0,,2,8,,,0,0,0.49512383209076527,Value Growth
8,61,M,Central,Prepaid,Mid,2,0,986.2477378934733,3.5604611476298675,277,0.07581227436823104,2025-10-25,6,6.0465354117746815,36.27921247064809,2025-10-15,0.0,,0.0,0.0,,1,11,,,0,0,0.5266394220226133,Value Growth
9,30,F,North,Postpaid,Basic,47,0,1355.3719847677903,3.6830760455646474,368,0.09782608695652174,2025-10-25,6,18.33262332515449,109.99573995092695,2025-10-06,0.0,,1.0,17.25493992358162,2025-10-24,1,20,,2.0,0,0,0.2918685784234298,Loyal
10,23,M,South,Prepaid,Premium,117,0,1270.7146872347007,3.490974415479947,364,0.12087912087912088,2025-10-25,6,8.820670894474661,52.92402536684797,2025-10-24,1.0,2025-05-17,0.0,0.0,,1,2,162.0,,0,0,0.6366790453742365,Value Growth
